text,label
负责琴行前台的客户咨询来访。主要负责跟进客服微信咨询以及进店咨询的客户，创建学生老师回课群，通课排课，回课提醒；在职期间，曾最高完成业绩达 12w，当月共招生21个学生, 2
带领团队负责中东区域收入、成本、应收账款的账务核算管理工作, 1
深度介入产品规划, 0
具备良好的沟通能力, 2
能协调和发挥各部门能动作用, 2
具备优秀的英语听、说、读、写能力，可作为工作语言, 2
表达逻辑强, 2
谈判能力, 2
面试人员接待, 2
详细的产品文档输出，包括用户场景、业务流程图、高保真原型图、交互设计以及详尽需求文档等；输出竞品分析报告, 2
与班委协调管理班级, 2
为公司及部门活动提供支持, 2
良好的跨部门沟通能力和团队协作能力，善于调动内外部资源, 2
沟通腾讯系、头条系、等信息流广告投放相关需求, 2
负责日常员工沟通, 2
汽车市场终端客户挖掘及关系维护, 2
策划组织线下宣传活动, 0
通过重构集团内公司的 VIE 架构，解决潜在税务风险, 0
执行力强, 0
从公司生意经营的角度考虑，制定各项成本目标，不断优化供应链各项指标，持续改善产品毛利, 0
负责管理区域培养优秀的管理人员，使之具备良好的竞争优势, 1
具备良好的人才识别和把控能力, 1
组织策划学院超百人 ERP 比赛等活动, 0
梳理公司财务管理风险点和控制节点, 0
统筹物料采购、代工厂生产工作, 2
项目内容涵盖中期、远期组织架构方案, 0
推动资源结构优化，分级分类落实二供资源开发，系统性降低供应风险, 0
负责定期参与、跟踪、监督各品类子单元和各执行区域的年度指标、重点任务、重点事项的执行情况, 0
通过团队成员的工作计划及完成情况跟进，及时进行辅导、激励, 1
具有一定亲和力和关系拓展维护能力, 2
具备较强产品洞察力和敏锐感，善于发掘用户潜在需求，具有一定的行业前瞻性, 0
推动公司各部门间的协作, 2
每月主导经营体产销会、全厂产出出货计划会, 2
对项目组成员进行有效的指导和培训, 1
制订库存指标和库存结构计划, 0
具备一定的项目管理经验, 1
建立起涵盖组织和人才测评的 AC/DC 测评平台, 0
组织实施、达成销售目标, 0
拉动一切资源，推动组织能力，团队能力和人员能力的提升, 1
普通话标准, 2
与客户进行深度访谈，确认客户的主要交易模式和流程, 2
选择、评估及考核第三方物流公司, 0
安排活动时间, 2
组织财务报表、经营管理分析报告的编制和管理经营分析活动召开, 2
按时保质保量完成上级领导交办的各项任务, 0
持续开发新供应商, 2
根据公司总体战略，结合市场情况制定销售策略与规划, 0
带领所负责的团队实施专业采购任务, 1
组织策划团体活动, 0
做好本部门相关岗位的面试、考核、管理、培训与指导工作, 1
负责管理班子人才画像, 1
擅长团队管理协调, 0
制定年会及公司大型活动, 0
安排并培训其他合作团队，增强团队业务交流, 1
组织能力, 0
团队沟通协作能力, 2
会议决策项的跟踪与落实, 0
统筹管理本项目组交付工作，负责协调处理各类生产中的异常情况，保障生产的正常化，均衡化, 2
创新类项目实施, 0
具有较强的员工激励能力, 1
参与公司重大经营决策, 0
培训多名营运经理本部门知识及改善跨部门的合作沟通流程, 1
与顾客和同伴保持良好的沟通, 2
针对重大调整事项与企业高级管理层沟通, 2
督促客户服务费用的按时回款，同时协助客服同客户前期及后期的接洽工作, 2
外语能力上通过英语四、六级，有良好的听说读写能力, 2
协助领导协调公司人员关系, 2
建立与业务团队多种形式的有效沟通，确保信息畅通, 2
加强财务人员的培训和考核工作，提高财务系统人员的业务素质, 1
负责学生社团排剧活动, 2
负责合同管理，创建合同，跟进签订合同，合同归档, 2
担任视频站总负责人 ，跟进项目 ，做好宣传活动、形成媒体矩阵 ，协助运营学校官视和官抖，曾协助学校官抖创立采访、情景剧、vlog三个栏目，具备统筹协调能力, 0
参与公司各类投资项目的谈判与执行工作, 0
实施全行绩效考核流程与制度建设优化, 0
定期或不定期拜访重点客户，建立、保持与客户、同行业间的良好合作关系, 2
有海外留学经历，可以将英语作为工作语言, 2
跟踪结构类大宗数据管理，基于大宗预测做好原材料储备等工作, 0
负责班级有关团支部的工作，组织策划团日活动，参与制定活动策划案，进行班级活动的拍照，视频的制作, 1
在校期间担任网球俱乐部主席以及训练队队长, 1
进⾏⽂案撰写300+，产品图拍摄200+, 2
有效解决员工关系问题, 1
合作方对接与关系维护，包括咨询机构对接、产业资源对接、运营商对接, 2
复杂跨国团队的统筹管理, 1
不管是实习以及毕业后的工作，都是在与不同的职位之间进行工作的沟通交接、筹备，有着优秀的沟通表达能力，过往的工作经验让我可以更好上手相关的工作, 2
带领团队针对不同特性品类对不同销售特点的盒马鲜生门店进行备货, 1
简历筛选、挖掘, 0
Interact with target management, 2
定期与员工进行访谈，了解员工工作状况，协助员工解决各类问题，确保员工队伍的合理与稳定, 1
开展员工座谈会等增强凝聚力, 0
所管理部门的内部氛围及对外关系良好, 2
整合公司内外部资源展现我司整体服务能力，组织工作坊促进双方高层交流, 0
落实各阶段的方案执行, 0
撰写合作意向书, 2
能解决复杂问题，关注细节和落地，而不是停留在想和说, 0
负责 ATM 机窗口指导与协助办理人寿保险业务, 2
协助机构宣传工作, 2
优秀的语言表达能力, 2
资源整合能力, 2
统筹完善 360 组织绩效管理体系, 2
善于激励团队成员共同努力达成目标, 1
具有较强沟通协调能力, 2
主导梳理、设计、研讨、修正、培训与试行了 36 个流程, 2
分析并筛选项目, 0
擅长英文写作和口语交流, 2
科学性、计划性和可持续性地建立组织发展和人才发展规划，推进落地, 0
明确各团队岗位职责及关键工作目标, 1
制订库存指标和库存结构计划, 0
主导PLM/ERP系统上线, 0
通过电话、拜访与企业客户保持良好沟通, 2
具备优秀的对外沟通协调能力，能够拉通对外集成的诉求，推动上下游解决问题, 2
具有较强的项目规划能力, 0
协助市场经理制定广告媒体投放计划, 0
整合信息资源，制订合理的运输方案和配送计划, 0
撰写估值分析报告, 2
主导并与相关部门合作重新制定和优化商品定编数及商品引进/淘汰等规则及流程, 2
负责电商销售团队的运营激励, 1
负责自营供应商管理, 1
主要负责开拓优质媒介资源（高校媒介资源为主）, 0
参与人力资源管理，年度人员规划编制与监督, 1
对店内充值活动等进行推荐，引导顾客参与, 2
组织绩效管理体系, 2
对认证供应商进行绩效管理, 1
擅长团队内外、跨业务的协作沟通, 2
全面负责财务税务资金等各模块日常工作, 0
加强财务人员的培训和考核工作，提高财务系统人员的业务素质, 1
优秀的书面和口头表达能力，熟悉使用办公软件，具备大数据和文件管理能力, 2
协助销售人员做好上门客户的接待和电话来访工作, 2
善于沟通，有亲和力, 2
优秀的谈判能力；擅长与人沟通, 2
从0到1组建生鲜订货团队, 1
"策划举办“2020 粤港澳大湾区产销对接会""""", 0
共计300余人进行了offer谈判, 2
组织召开生产协调会, 2
具体牵头实施, 0
根据项目营销计划及市场行情制订采购策略，输出采购计划, 0
具备较强的沟通协调能力, 2
针对重大调整事项与企业高级管理层沟通, 2
主要负责线上端宣传的工作 ，负责抖音、公众号运营以及维护工作，撰写推广文案，剪辑视频等，提升学校知名度, 2
全面统筹 PMC 计划、采购、仓储与物流工作, 1
建立战略、组织和人才一体的绩效合约与人才发展体系, 0
促使团队内部、团队与其他部门高效协作, 1
每周组织内外部专业知识及技能培训，提升团队整体效能, 1
具有良好的语言表达及沟通能力，擅长并乐于与人交流, 2
集团采购委员会的议题评审、会议召集组织实施, 2
根据公司战略目标及市场生态发展趋势，以及不同市场与客户需求情况制定供应链战略，设计供应链管理模式，推行精敏供应链，满足客户需求, 0
助力业务战略落实, 0
